"","X","Region","Site","Treatment","Timepoint","Treatment_Timepoint","Region_Treatment","Region_Timepoint","Region_Site","Treatment_Site"
"Spr_CON3017_A","Spr_CON3017_A","CP","Spr","CON","A","CON_A","CP_CON","CP_A","CPSpr","CONSpr"
"Spr_CON3017_B","Spr_CON3017_B","CP","Spr","CON","B","CON_B","CP_CON","CP_B","CPSpr","CONSpr"
"Spr_CON3019_A","Spr_CON3019_A","CP","Spr","CON","A","CON_A","CP_CON","CP_A","CPSpr","CONSpr"
"Spr_CON3019_Be2","Spr_CON3019_Be2","CP","Spr","CON","B","CON_B","CP_CON","CP_B","CPSpr","CONSpr"
"Spr_IPM3023_A","Spr_IPM3023_A","CP","Spr","ORG","A","ORG_A","CP_ORG","CP_A","CPSpr","ORGSpr"
"Spr_IPM3023_B","Spr_IPM3023_B","CP","Spr","ORG","B","ORG_B","CP_ORG","CP_B","CPSpr","ORGSpr"
"Spr_IPM3024_A","Spr_IPM3024_A","CP","Spr","ORG","A","ORG_A","CP_ORG","CP_A","CPSpr","ORGSpr"
"Spr_IPM3024_B","Spr_IPM3024_B","CP","Spr","ORG","B","ORG_B","CP_ORG","CP_B","CPSpr","ORGSpr"
"Sum_CF4005_A","Sum_CF4005_A","WV","Sum","CF","A","CF_A","WV_CF","WV_A","WVSum","CFSum"
"Sum_CF4005_B","Sum_CF4005_B","WV","Sum","CF","B","CF_B","WV_CF","WV_B","WVSum","CFSum"
"Sum_CF4006_A","Sum_CF4006_A","WV","Sum","CF","A","CF_A","WV_CF","WV_A","WVSum","CFSum"
"Sum_CF4006_B","Sum_CF4006_B","WV","Sum","CF","B","CF_B","WV_CF","WV_B","WVSum","CFSum"
"Sum_CON4010_A","Sum_CON4010_A","WV","Sum","CON","A","CON_A","WV_CON","WV_A","WVSum","CONSum"
"Sum_CON4010_B","Sum_CON4010_B","WV","Sum","CON","B","CON_B","WV_CON","WV_B","WVSum","CONSum"
"Sum_CON4011_A","Sum_CON4011_A","WV","Sum","CON","A","CON_A","WV_CON","WV_A","WVSum","CONSum"
"Sum_CON4011_B","Sum_CON4011_B","WV","Sum","CON","B","CON_B","WV_CON","WV_B","WVSum","CONSum"
"Sum_IPM4001_A","Sum_IPM4001_A","WV","Sum","ORG","A","ORG_A","WV_ORG","WV_A","WVSum","ORGSum"
"Sum_IPM4001_B","Sum_IPM4001_B","WV","Sum","ORG","B","ORG_B","WV_ORG","WV_B","WVSum","ORGSum"
"Sum_IPM4002_A","Sum_IPM4002_A","WV","Sum","ORG","A","ORG_A","WV_ORG","WV_A","WVSum","ORGSum"
"Sum_IPM4002_B","Sum_IPM4002_B","WV","Sum","ORG","B","ORG_B","WV_ORG","WV_B","WVSum","ORGSum"
